Feature,Importance
categorical__Scholarship_75%,1.1594843577933376
categorical__Scholarship_100%,1.0717200809050158
categorical__Student_Age_25.0,0.9772938076747094
categorical__Attendance_Sometimes,0.8241441007354915
categorical__Attendance_Never,0.6812041298850433
categorical__Student_Age_18.0,0.5850592400463054
categorical__High_School_Type_Private,0.5663162882553675
categorical__Scholarship_50%,0.5174054370351642
categorical__Sex_Female,0.47751152914522044
categorical__Sex_Male,0.47751152914521505
categorical__Scholarship_25%,0.4296411601467831
categorical__Student_Age_20.5,0.3922345676284102
categorical__Weekly_Study_Hours_2,0.38561876278432083
categorical__Weekly_Study_Hours_8,0.3694159185306938
categorical__High_School_Type_State,0.3383770396664763
categorical__Project_work_Yes,0.2733025414346689
categorical__Project_work_No,0.27330254143466703
categorical__Additional_Work_No,0.25360286161510776
categorical__Additional_Work_Yes,0.25360286161510764
categorical__Reading_No,0.25256033111242343
categorical__Reading_Yes,0.2525603311124061
categorical__Sports_activity_No,0.2396387201177528
categorical__Sports_activity_Yes,0.2396387201177521
categorical__Transportation_Bus,0.2394021364214011
categorical__Transportation_Private,0.23940213642139802
categorical__High_School_Type_Other,0.22793924858891026
categorical__Attendance_Always,0.14293997085048146
categorical__Weekly_Study_Hours_0,0.07873413748610018
categorical__Weekly_Study_Hours_12,0.06253129323245515
categorical__Listening_in_Class_Yes,0.0348146573994292
categorical__Listening_in_Class_No,0.03481465739942846
categorical__Notes_Yes,0.025141327076981662
categorical__Notes_No,0.02514132707698157
