Feature,Importance
numerical__Scholarship,0.5347135124859158
numerical__Sports_activity,0.21442743467344455
numerical__Student_Age,0.20010991517870938
numerical__Reading,0.1786767300849277
categorical__Transportation_Bus,0.15975688702410332
categorical__Transportation_Private,0.14108194808286018
numerical__Project_work,0.12781206899129827
numerical__Listening_in_Class,0.1191916205133573
categorical__Sex_Male,0.1032496364962908
categorical__Sex_Female,0.09963518715630804
numerical__Attendance,0.0984977001096625
categorical__High_School_Type_Private,0.09778371074033149
numerical__Weekly_Study_Hours,0.06863168385698337
numerical__Additional_Work,0.04855963771025995
categorical__High_School_Type_State,0.048390203164336565
numerical__Notes,0.04390054905839987
categorical__High_School_Type_Other,0.03587417696180342
